Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
29,1.0,0.0,6430.0,9.0,779.0,21822.0,0.0,626.0204210601613,626.0204210601613,0.0,2234.745488166809,,,,,,,,,,,,,,,,236.03866239839192,125.05075913770015,442.58889194375854,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,6593.0,10.0,163.0,21985.0,0.0,95.00288967787408,95.00288967787408,0.0,2245.8379456996918,,,,,,,,,,,,,,,,38.207981444068906,27.387500677761487,88.86385255504597,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,7457.0,11.0,864.0,22849.0,0.0,752.3586889070444,752.3586889070444,0.0,2304.3463373184204,,,,,,,,,,,,,,,,291.6837070107082,145.41113797317402,500.84481086065216,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,8432.0,12.0,975.0,23824.0,0.0,984.9270041356873,984.9270041356873,0.0,2370.229104042053,,,,,,,,,,,,,,,,389.4909729482993,171.79730006158246,605.7790845956903,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,9404.0,13.0,972.0,24796.0,0.0,1052.9608176612967,1052.9608176612967,0.0,2435.692634344101,,,,,,,,,,,,,,,,402.2792552107563,212.32422051743347,662.6079895860273,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,9991.0,14.0,587.0,25383.0,0.0,508.9885362256145,508.9885362256145,0.0,2475.5112357139587,,,,,,,,,,,,,,,,201.51509161547943,122.41028252989938,391.09026771504296,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,10650.0,15.0,659.0,26042.0,0.0,587.9361191753619,587.9361191753619,0.0,2520.062843799591,,,,,,,,,,,,,,,,231.60508993115351,136.84790349813545,435.74410901975176,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,11466.0,16.0,816.0,26858.0,0.0,811.2157380621683,811.2157380621683,0.0,2575.4884424209595,,,,,,,,,,,,,,,,324.6155992417711,165.510275310691,546.8762853662488,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,12483.0,17.0,1017.0,27875.0,0.0,1170.0155725247607,1170.0155725247607,0.0,2644.189404964447,,,,,,,,,,,,,,,,466.3799423882483,201.41612718636188,696.4035746906038,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,13479.0,18.0,996.0,28871.0,0.0,1151.3356194134246,1151.3356194134246,0.0,2711.26211643219,,,,,,,,,,,,,,,,464.5143883145084,206.25251478532516,704.1510390479268,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,13518.0,19.0,39.0,28910.0,0.0,12.275434803990345,12.275434803990345,0.0,2714.079025745392,,,,,,,,,,,,,,,,2.9063910623050115,3.7237528595392058,12.174259812372823,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,14515.0,20.0,997.0,29907.0,0.0,1160.7447066611471,1160.7447066611471,0.0,2781.8026971817017,,,,,,,,,,,,,,,,455.82389260743776,210.93496542514387,708.918085455597,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
